customer_hash,R,F,M,cluster_id,cluster_name
e26e5feb,572,1,35.25,1,Lapsed one-time
d6e6496f,201,1,190.15,0,Recent one-time
a1bef29b,1029,1,87.1,1,Lapsed one-time
ff40cc62,44,2,106.33,2,Loyal core (repeat buyers)
500e9cbe,615,1,207.15,0,Recent one-time
70227403,744,1,54.05,1,Lapsed one-time
3ed17ee3,511,1,126.4,0,Recent one-time
f8ac82ff,75,1,84.21,0,Recent one-time
5b091a03,394,1,82.98,0,Recent one-time
c18a4098,918,1,48.87,1,Lapsed one-time
736ae30e,534,1,54.49,1,Lapsed one-time
15241558,7,1,126.07,0,Recent one-time
39a46916,273,1,114.86,0,Recent one-time
3886da32,721,1,54.67,1,Lapsed one-time
606f14a3,326,2,140.59,2,Loyal core (repeat buyers)
d4a2c76d,249,1,56.75,0,Recent one-time
41872365,1025,1,58.65,1,Lapsed one-time
102af32e,585,1,35.51,1,Lapsed one-time
48c16b33,1070,2,58.29,1,Lapsed one-time
bbe5a015,230,1,255.7,0,Recent one-time
3529dfeb,257,3,171.22,2,Loyal core (repeat buyers)
dbb438a5,998,1,89.63,1,Lapsed one-time
30068860,1071,1,115.81,1,Lapsed one-time
3bcdd317,282,1,97.08,0,Recent one-time
e1a4ea4b,848,1,48.25,1,Lapsed one-time
943b78e4,853,1,37.8,1,Lapsed one-time
497b153c,550,1,33.75,1,Lapsed one-time
aff6573b,560,1,98.8,0,Recent one-time
f5baf13f,1019,2,113.96,2,Loyal core (repeat buyers)
c9d22b92,190,1,92.3,0,Recent one-time
f93cbda8,1027,1,132.6,1,Lapsed one-time
234173f7,101,1,461.76,0,Recent one-time
4b84dfd2,1037,1,51.78,1,Lapsed one-time
b14658a7,80,2,137.5,2,Loyal core (repeat buyers)
80530a33,10,1,80.8,0,Recent one-time
3109fc97,508,3,314.5,2,Loyal core (repeat buyers)
e12d2692,638,1,210.14,0,Recent one-time
e3cb1262,484,1,59.87,1,Lapsed one-time
afa6c1dd,1051,1,70.52,1,Lapsed one-time
36f823ac,509,1,53.98,1,Lapsed one-time
05f8ab9d,532,1,57.86,1,Lapsed one-time
755523d4,289,2,142.03,2,Loyal core (repeat buyers)
89546d2f,246,1,106.68,0,Recent one-time
2f172190,273,1,33.65,0,Recent one-time
9f04b847,85,2,110.12,2,Loyal core (repeat buyers)
37d9c83a,278,1,74.25,0,Recent one-time
bfbc6f87,544,1,116.58,0,Recent one-time
cee143cc,954,1,58.63,1,Lapsed one-time
3fa7bb50,137,1,51.19,0,Recent one-time
aa131b5d,51,1,67.72,0,Recent one-time
50a27932,216,3,153.64,2,Loyal core (repeat buyers)
85e329da,844,1,133.6,1,Lapsed one-time
8c6a889f,218,1,82.5,0,Recent one-time
f59ea591,407,1,79.05,0,Recent one-time
07c02972,601,1,132.32,0,Recent one-time
2f6a9bc1,919,1,97.4,1,Lapsed one-time
439918e1,663,2,184.95,2,Loyal core (repeat buyers)
