customer_hash,R,F,M,cluster_id,cluster_name
73b57507,298,2,134.82,2,Loyal core (repeat buyers)
8ff01c98,197,1,99.04,0,Recent one-time
a2d36e7d,198,1,77.19,0,Recent one-time
7cbc37eb,847,1,100.2,1,Lapsed one-time
5efdec9a,37,1,100.67,0,Recent one-time
a13d8100,559,1,53.61,1,Lapsed one-time
b7e6175e,508,1,124.42,0,Recent one-time
01fb11d2,565,1,53.64,1,Lapsed one-time
f73a73e1,853,2,144.84,2,Loyal core (repeat buyers)
7e7c8d91,490,1,87.04,0,Recent one-time
03d29a15,781,1,80.44,1,Lapsed one-time
7da81dcb,122,1,33.86,0,Recent one-time
52001f3c,289,1,54.82,0,Recent one-time
8897c596,1050,2,135.49,2,Loyal core (repeat buyers)
df89fc56,695,1,36.79,1,Lapsed one-time
9cb562b7,886,1,38.37,1,Lapsed one-time
136ebbcc,49,1,99.94,0,Recent one-time
3f0dd209,540,1,53.89,1,Lapsed one-time
c2066641,1049,2,110.78,2,Loyal core (repeat buyers)
ca119739,13,1,53.91,0,Recent one-time
94fb9d5f,152,1,82.3,0,Recent one-time
a64b80e0,536,1,55.43,1,Lapsed one-time
b140b89b,545,1,87.86,0,Recent one-time
622b7c0b,257,1,84.78,0,Recent one-time
5ef7e11a,443,1,55.41,0,Recent one-time
eccc8cbb,273,1,82.16,0,Recent one-time
4adc7e6d,1026,1,7.72,1,Lapsed one-time
16bf4ac3,527,1,54.4,1,Lapsed one-time
09cfce25,171,1,67.28,0,Recent one-time
1a6ad048,624,1,54.58,1,Lapsed one-time
82edd22f,894,1,97.57,1,Lapsed one-time
edca22d8,558,1,34.1,1,Lapsed one-time
a0a00f8c,906,1,58.39,1,Lapsed one-time
be97db2e,929,1,47.69,1,Lapsed one-time
35f0ca9d,254,1,83.73,0,Recent one-time
59a481bd,269,1,106.17,0,Recent one-time
ff55ce5a,967,1,48.7,1,Lapsed one-time
1f869aab,101,1,67.57,0,Recent one-time
df46edb1,716,1,133.51,1,Lapsed one-time
